,cuisines,city,platform,net_profit
133,Multi-Cuisine,Mumbai,swiggy,113170
134,Bakery,Mumbai,swiggy,74281
135,Desserts,Mumbai,swiggy,80446
136,Korean,Mumbai,swiggy,45025
137,North Indian,Mumbai,swiggy,218755
138,Biryani,Mumbai,swiggy,158991
139,Seafood,Mumbai,swiggy,87144
140,Continental,Mumbai,swiggy,127788
141,Multi-Cuisine,Mumbai,swiggy,278543
142,North Indian,Mumbai,swiggy,155148
143,Mexican,Mumbai,swiggy,271599
144,Japanese,Mumbai,swiggy,153039
145,Seafood,Mumbai,swiggy,155213
146,Multi-Cuisine,Mumbai,swiggy,76252
147,Street Food,Mumbai,swiggy,121555
148,Cafe,Mumbai,swiggy,168952
149,Korean,Mumbai,swiggy,92017
150,Seafood,Mumbai,swiggy,46645
151,Thai,Mumbai,swiggy,190014
152,South Indian,Mumbai,swiggy,118436
153,Korean,Mumbai,swiggy,278576
154,Italian,Mumbai,swiggy,123718
155,Thai,Mumbai,swiggy,103117
156,Korean,Mumbai,swiggy,75666
157,Mughlai,Mumbai,swiggy,180604
158,Korean,Mumbai,swiggy,138983
159,North Indian,Mumbai,swiggy,154670
160,Lebanese,Mumbai,swiggy,102133
161,South Indian,Mumbai,swiggy,130001
162,Seafood,Mumbai,swiggy,24243
163,Bakery,Mumbai,swiggy,92075
164,Thai,Mumbai,swiggy,215333
165,Chinese,Mumbai,swiggy,175085
166,Pan-Asian,Mumbai,swiggy,179306
167,Cafe,Mumbai,swiggy,112344
168,Cafe,Mumbai,swiggy,80730
169,Japanese,Mumbai,swiggy,300653
170,Street Food,Mumbai,swiggy,361579
171,Lebanese,Mumbai,swiggy,45442
172,Mediterranean,Mumbai,swiggy,159179
173,Street Food,Mumbai,swiggy,181662
174,Mediterranean,Mumbai,swiggy,236686
175,Multi-Cuisine,Mumbai,swiggy,17438
176,Lebanese,Mumbai,swiggy,172803
177,Multi-Cuisine,Mumbai,swiggy,140677
178,Mediterranean,Mumbai,swiggy,219982
179,Multi-Cuisine,Mumbai,swiggy,123364
180,Chinese,Mumbai,swiggy,40872
181,Biryani,Mumbai,swiggy,37590
182,Biryani,Mumbai,swiggy,257947
183,Street Food,Mumbai,swiggy,74607
184,Continental,Mumbai,swiggy,111743
185,Korean,Mumbai,swiggy,103135
186,Japanese,Mumbai,swiggy,32381
187,Mughlai,Mumbai,swiggy,56942
188,Street Food,Mumbai,swiggy,361920
189,Japanese,Mumbai,swiggy,48227
190,Mediterranean,Mumbai,swiggy,301459
191,Desserts,Mumbai,swiggy,175698
192,North Indian,Mumbai,swiggy,66735
193,Seafood,Mumbai,swiggy,155255
194,Italian,Mumbai,swiggy,20880
195,South Indian,Mumbai,swiggy,124125
196,Japanese,Mumbai,swiggy,50971
197,Mexican,Mumbai,swiggy,33735
198,Lebanese,Mumbai,swiggy,239401
199,Multi-Cuisine,Mumbai,swiggy,69185
200,Desserts,Mumbai,swiggy,33280
201,Continental,Mumbai,swiggy,364341
202,Lebanese,Mumbai,swiggy,136602
203,Biryani,Mumbai,swiggy,202711
204,Cafe,Mumbai,swiggy,114362
205,Cafe,Mumbai,swiggy,208515
206,North Indian,Mumbai,swiggy,80282
207,North Indian,Mumbai,swiggy,49758
208,North Indian,Mumbai,swiggy,172277
209,Lebanese,Mumbai,swiggy,96345
210,Mediterranean,Mumbai,swiggy,306453
211,Italian,Mumbai,swiggy,86364
212,Fast Food,Mumbai,swiggy,78853
213,Lebanese,Mumbai,swiggy,75777
214,Cafe,Mumbai,swiggy,71761
215,Italian,Mumbai,swiggy,119119
216,Seafood,Mumbai,swiggy,232781
217,Vietnamese,Mumbai,swiggy,119647
218,Italian,Mumbai,swiggy,102486
219,Multi-Cuisine,Mumbai,swiggy,194651
220,Street Food,Mumbai,swiggy,59040
221,Korean,Mumbai,swiggy,87866
222,Biryani,Mumbai,swiggy,131161
223,Italian,Mumbai,swiggy,108501
224,Bakery,Mumbai,swiggy,238606
225,South Indian,Mumbai,swiggy,28879
226,Pan-Asian,Mumbai,swiggy,103916
227,Biryani,Mumbai,swiggy,165109
228,Japanese,Mumbai,swiggy,35530
229,Bakery,Mumbai,swiggy,140308
230,North Indian,Mumbai,swiggy,330082
231,Biryani,Mumbai,swiggy,23864
232,Pan-Asian,Mumbai,swiggy,31181
233,Pan-Asian,Mumbai,swiggy,327894
234,Korean,Mumbai,swiggy,82328
235,Pan-Asian,Mumbai,swiggy,47646
236,Thai,Mumbai,swiggy,227452
237,Desserts,Mumbai,swiggy,74030
238,Japanese,Mumbai,swiggy,27771
239,Lebanese,Mumbai,swiggy,86523
240,Chinese,Mumbai,swiggy,227121
241,Multi-Cuisine,Mumbai,swiggy,173120
242,Pan-Asian,Mumbai,swiggy,139950
243,Bakery,Mumbai,swiggy,208955
244,Fast Food,Mumbai,swiggy,116908
245,Italian,Mumbai,swiggy,77663
246,Mughlai,Mumbai,swiggy,66039
247,Mediterranean,Mumbai,swiggy,54502
248,Multi-Cuisine,Mumbai,swiggy,126601
249,Thai,Mumbai,swiggy,146355
250,Korean,Mumbai,swiggy,230417
251,Italian,Mumbai,swiggy,96589
252,North Indian,Mumbai,swiggy,104848
253,Street Food,Mumbai,swiggy,281363
254,Mughlai,Mumbai,swiggy,72609
255,Thai,Mumbai,swiggy,15953
256,Biryani,Mumbai,swiggy,32404
257,North Indian,Mumbai,swiggy,155426
258,Multi-Cuisine,Mumbai,swiggy,79019
259,Thai,Bangalore,swiggy,188795
260,Korean,Bangalore,swiggy,116680
261,Mediterranean,Bangalore,swiggy,41712
262,Desserts,Bangalore,swiggy,57760
263,Korean,Bangalore,swiggy,315250
264,Italian,Bangalore,swiggy,80539
265,Thai,Bangalore,swiggy,48257
266,Korean,Bangalore,swiggy,209471
267,Multi-Cuisine,Bangalore,swiggy,22946
268,Fast Food,Bangalore,swiggy,128705
269,Biryani,Bangalore,swiggy,167167
270,Korean,Bangalore,swiggy,64340
271,Bakery,Bangalore,swiggy,66553
272,Japanese,Bangalore,swiggy,258860
273,Continental,Bangalore,swiggy,185339
274,Street Food,Bangalore,swiggy,34113
275,Korean,Bangalore,swiggy,297820
276,Biryani,Bangalore,swiggy,158855
277,South Indian,Bangalore,swiggy,184388
278,Vietnamese,Bangalore,swiggy,91593
279,Chinese,Bangalore,swiggy,147350
280,Mughlai,Bangalore,swiggy,182870
281,Mexican,Bangalore,swiggy,33498
282,Lebanese,Bangalore,swiggy,50968
283,Biryani,Bangalore,swiggy,119234
284,Italian,Bangalore,swiggy,64944
285,Mughlai,Bangalore,swiggy,49880
286,Continental,Bangalore,swiggy,326168
287,Fast Food,Bangalore,swiggy,52700
288,Mediterranean,Bangalore,swiggy,87814
289,Biryani,Bangalore,swiggy,147160
290,Bakery,Bangalore,swiggy,330645
291,Multi-Cuisine,Bangalore,swiggy,270998
292,Italian,Bangalore,swiggy,125143
293,North Indian,Bangalore,swiggy,153063
294,Mughlai,Bangalore,swiggy,123480
295,Mughlai,Bangalore,swiggy,14281
296,Mexican,Bangalore,swiggy,128027
297,Desserts,Bangalore,swiggy,10771
298,Italian,Bangalore,swiggy,187992
299,North Indian,Bangalore,swiggy,260099
300,Seafood,Bangalore,swiggy,159769
301,Thai,Bangalore,swiggy,54644
302,Multi-Cuisine,Bangalore,swiggy,226736
303,Biryani,Bangalore,swiggy,173257
304,Street Food,Bangalore,swiggy,280443
305,Bakery,Bangalore,swiggy,110781
306,Pan-Asian,Bangalore,swiggy,217459
307,Continental,Bangalore,swiggy,252534
308,Street Food,Bangalore,swiggy,231343
309,Thai,Bangalore,swiggy,129074
310,Mexican,Bangalore,swiggy,270146
311,Seafood,Bangalore,swiggy,72613
312,Mediterranean,Bangalore,swiggy,190408
313,North Indian,Bangalore,swiggy,312786
314,North Indian,Bangalore,swiggy,145600
315,Mughlai,Bangalore,swiggy,92086
316,Mughlai,Bangalore,swiggy,46413
317,Korean,Bangalore,swiggy,87495
318,Bakery,Bangalore,swiggy,87821
319,Continental,Bangalore,swiggy,41145
320,Mexican,Bangalore,swiggy,233649
321,North Indian,Bangalore,swiggy,112494
322,Mughlai,Bangalore,swiggy,17370
323,Multi-Cuisine,Bangalore,swiggy,56578
324,Mexican,Bangalore,swiggy,182832
325,Mughlai,Bangalore,swiggy,36624
326,Multi-Cuisine,Bangalore,swiggy,220042
327,Italian,Bangalore,swiggy,121378
328,Chinese,Bangalore,swiggy,22303
329,Mexican,Bangalore,swiggy,119833
330,Mediterranean,Bangalore,swiggy,146260
331,Cafe,Bangalore,swiggy,51113
332,Korean,Bangalore,swiggy,227295
333,Korean,Bangalore,swiggy,58698
334,Thai,Bangalore,swiggy,120944
335,Street Food,Bangalore,swiggy,122154
336,Biryani,Bangalore,swiggy,97130
337,South Indian,Bangalore,swiggy,178989
338,Mediterranean,Bangalore,swiggy,34089
339,Thai,Bangalore,swiggy,121237
340,Multi-Cuisine,Bangalore,swiggy,71300
341,Mughlai,Bangalore,swiggy,24725
342,Lebanese,Bangalore,swiggy,180768
343,Fast Food,Bangalore,swiggy,88113
344,Biryani,Bangalore,swiggy,281686
345,Italian,Bangalore,swiggy,135955
346,Seafood,Bangalore,swiggy,36822
347,Continental,Bangalore,swiggy,142541
348,Pan-Asian,Bangalore,swiggy,100377
349,Chinese,Bangalore,swiggy,83221
350,Lebanese,Bangalore,swiggy,55920
351,Italian,Bangalore,swiggy,197604
352,Japanese,Bangalore,swiggy,268223
353,Pan-Asian,Bangalore,swiggy,274651
354,Seafood,Bangalore,swiggy,68471
355,Japanese,Bangalore,swiggy,304217
356,Mughlai,Bangalore,swiggy,135973
357,South Indian,Bangalore,swiggy,208208
358,Lebanese,Bangalore,swiggy,91354
359,Mediterranean,Bangalore,swiggy,166431
360,Cafe,Bangalore,swiggy,122712
361,Pan-Asian,Bangalore,swiggy,99127
362,Japanese,Bangalore,swiggy,156105
363,Desserts,Bangalore,swiggy,22358
364,Japanese,Bangalore,swiggy,117149
365,Korean,Bangalore,swiggy,148075
366,Mughlai,Bangalore,swiggy,232213
367,Fast Food,Bangalore,swiggy,145189
368,Korean,Bangalore,swiggy,61072
369,Chinese,Bangalore,swiggy,223537
370,Lebanese,Bangalore,swiggy,118849
371,Desserts,Bangalore,swiggy,74907
372,Bakery,Bangalore,swiggy,130622
373,Pan-Asian,Bangalore,swiggy,42955
374,Multi-Cuisine,Bangalore,swiggy,139202
375,Cafe,Bangalore,swiggy,153006
376,Bakery,Bangalore,swiggy,304358
377,Multi-Cuisine,Bangalore,swiggy,187553
378,Multi-Cuisine,Bangalore,swiggy,60686
379,Vietnamese,Bangalore,swiggy,231654
380,Seafood,Bangalore,swiggy,50919
381,Japanese,Bangalore,swiggy,188011
382,Desserts,Bangalore,swiggy,76370
383,Continental,Bangalore,swiggy,36321
384,Cafe,Bangalore,swiggy,272199
385,Mexican,Bangalore,swiggy,170208
386,Biryani,Bangalore,swiggy,150244
387,North Indian,Bangalore,swiggy,201410
388,South Indian,Bangalore,swiggy,272077
389,Mughlai,Bangalore,swiggy,200610
390,Korean,Bangalore,swiggy,223664
391,Thai,Bangalore,swiggy,34204
392,Japanese,Bangalore,swiggy,105519
393,Fast Food,Bangalore,swiggy,56668
394,Desserts,Bangalore,swiggy,200632
395,Fast Food,Bangalore,swiggy,41763
396,Cafe,Bangalore,swiggy,166125
397,Biryani,Bangalore,swiggy,139113
398,Pan-Asian,Bangalore,swiggy,250636
399,Fast Food,Bangalore,swiggy,45840
400,Fast Food,Bangalore,swiggy,68661
401,Bakery,Bangalore,swiggy,18800
402,Chinese,Bangalore,swiggy,164788
403,Vietnamese,Bangalore,swiggy,160367
404,Vietnamese,Bangalore,swiggy,122696
405,Seafood,Bangalore,swiggy,41117
406,South Indian,Bangalore,swiggy,166715
407,Vietnamese,Bangalore,swiggy,153384
408,Mexican,Bangalore,swiggy,71955
409,Multi-Cuisine,Bangalore,swiggy,184329
410,Mughlai,Bangalore,swiggy,67319
411,Pan-Asian,Bangalore,swiggy,23466
412,Japanese,Bangalore,swiggy,244362
413,Multi-Cuisine,Bangalore,swiggy,117303
414,Vietnamese,Bangalore,swiggy,26592
415,Fast Food,Bangalore,swiggy,297059
416,Korean,Bangalore,swiggy,257357
417,Mughlai,Bangalore,swiggy,175542
418,Mediterranean,Bangalore,swiggy,216672
419,Continental,Bangalore,swiggy,32613
420,Biryani,Bangalore,swiggy,76832
421,Mediterranean,Bangalore,swiggy,31847
422,South Indian,Bangalore,swiggy,282077
423,North Indian,Bangalore,swiggy,94137
424,Korean,Bangalore,swiggy,223899
425,Japanese,Bangalore,swiggy,131701
426,Italian,Bangalore,swiggy,65853
427,Pan-Asian,Bangalore,swiggy,175462
428,Mughlai,Bangalore,swiggy,156462
429,Korean,Bangalore,swiggy,25941
430,Cafe,Bangalore,swiggy,164064
431,Street Food,Bangalore,swiggy,55755
432,Continental,Bangalore,swiggy,33864
433,Lebanese,Bangalore,swiggy,107099
434,Fast Food,Bangalore,swiggy,119412
435,Mediterranean,Bangalore,swiggy,128119
436,Continental,Bangalore,swiggy,111384
437,Pan-Asian,Bangalore,swiggy,155500
438,Mexican,Bangalore,swiggy,211461
439,Japanese,Bangalore,swiggy,138439
440,Street Food,Bangalore,swiggy,79037
441,Biryani,Bangalore,swiggy,146064
442,Seafood,Bangalore,swiggy,52488
443,Fast Food,Bangalore,swiggy,32298
444,South Indian,Bangalore,swiggy,16427
445,South Indian,Bangalore,swiggy,206437
446,Pan-Asian,Bangalore,swiggy,119819
447,Pan-Asian,Bangalore,swiggy,224186
448,Biryani,Bangalore,swiggy,137484
449,Desserts,Bangalore,swiggy,266652
450,Lebanese,Bangalore,swiggy,120350
451,Fast Food,Bangalore,swiggy,259704
452,Street Food,Bangalore,swiggy,192299
453,Bakery,Bangalore,swiggy,58205
454,Vietnamese,Bangalore,swiggy,55884
455,Japanese,Bangalore,swiggy,254329
456,Mediterranean,Bangalore,swiggy,25555
457,Mexican,Bangalore,swiggy,43243
458,Vietnamese,Bangalore,swiggy,28775
459,Street Food,Bangalore,swiggy,80006
460,Continental,Bangalore,swiggy,96343
461,Seafood,Bangalore,swiggy,170176
462,Multi-Cuisine,Bangalore,swiggy,270207
463,Pan-Asian,Bangalore,swiggy,74767
464,Seafood,Bangalore,swiggy,140524
465,Mediterranean,Bangalore,swiggy,133829
466,Vietnamese,Bangalore,swiggy,117062
467,Mexican,Bangalore,swiggy,96697
468,Japanese,Bangalore,swiggy,82661
469,Biryani,Bangalore,swiggy,37665
470,Bakery,Bangalore,swiggy,18721
471,Lebanese,Bangalore,swiggy,251001
472,Bakery,Bangalore,swiggy,149335
473,Vietnamese,Bangalore,swiggy,149547
474,Cafe,Bangalore,swiggy,211134
475,Vietnamese,Bangalore,swiggy,43437
476,Biryani,Bangalore,swiggy,30821
477,Chinese,Bangalore,swiggy,112802
478,Desserts,Bangalore,swiggy,137561
479,Pan-Asian,Bangalore,swiggy,106550
480,Fast Food,Bangalore,swiggy,32785
481,Multi-Cuisine,Bangalore,swiggy,144917
482,Street Food,Bangalore,swiggy,36616
483,Biryani,Bangalore,swiggy,168585
484,Mediterranean,Bangalore,swiggy,172336
485,Bakery,Bangalore,swiggy,57852
486,Multi-Cuisine,Bangalore,swiggy,64223
487,Bakery,Bangalore,swiggy,195638
488,South Indian,Bangalore,swiggy,160498
489,Vietnamese,Bangalore,swiggy,191102
490,Continental,Bangalore,swiggy,91327
491,Street Food,Bangalore,swiggy,68347
492,Bakery,Bangalore,swiggy,132341
493,Mexican,Bangalore,swiggy,218286
494,Japanese,Bangalore,swiggy,107086
495,Continental,Bangalore,swiggy,120057
496,Chinese,Bangalore,swiggy,76302
497,Bakery,Bangalore,swiggy,96935
498,Thai,Bangalore,swiggy,85207
499,Korean,Bangalore,swiggy,167489
500,Mediterranean,Delhi,swiggy,101400
501,Pan-Asian,Delhi,swiggy,180370
502,Seafood,Delhi,swiggy,20202
503,Vietnamese,Delhi,swiggy,144005
504,Lebanese,Delhi,swiggy,242252
505,Thai,Delhi,swiggy,161252
506,Bakery,Delhi,swiggy,131544
507,Korean,Delhi,swiggy,200385
508,Mexican,Delhi,swiggy,177579
509,Cafe,Delhi,swiggy,142964
510,Street Food,Delhi,swiggy,153148
511,Thai,Delhi,swiggy,112883
512,Fast Food,Delhi,swiggy,249491
513,Pan-Asian,Delhi,swiggy,98283
514,Street Food,Delhi,swiggy,44878
515,Fast Food,Delhi,swiggy,24036
516,Mughlai,Delhi,swiggy,185521
517,Mughlai,Delhi,swiggy,130567
518,Korean,Delhi,swiggy,52574
519,Biryani,Delhi,swiggy,124365
520,Thai,Delhi,swiggy,163322
521,Biryani,Delhi,swiggy,277920
522,Multi-Cuisine,Delhi,swiggy,180548
523,Bakery,Delhi,swiggy,102036
524,Italian,Delhi,swiggy,124056
525,Mughlai,Delhi,swiggy,181250
526,Continental,Delhi,swiggy,15912
527,Lebanese,Delhi,swiggy,21800
528,Cafe,Delhi,swiggy,254820
529,Seafood,Delhi,swiggy,60913
530,South Indian,Delhi,swiggy,117832
531,Korean,Delhi,swiggy,55510
532,Desserts,Delhi,swiggy,205705
533,Continental,Delhi,swiggy,97090
534,Seafood,Delhi,swiggy,31689
535,Mexican,Delhi,swiggy,81016
536,Biryani,Delhi,swiggy,54014
537,Cafe,Delhi,swiggy,87947
538,Bakery,Delhi,swiggy,267539
539,Mediterranean,Delhi,swiggy,94803
540,Lebanese,Delhi,swiggy,174079
541,Vietnamese,Delhi,swiggy,184863
542,Italian,Delhi,swiggy,156397
543,South Indian,Delhi,swiggy,61463
544,Japanese,Delhi,swiggy,103780
545,Biryani,Delhi,swiggy,108129
546,Vietnamese,Delhi,swiggy,81972
547,Mexican,Delhi,swiggy,117089
548,Mediterranean,Delhi,swiggy,121444
549,Mediterranean,Delhi,swiggy,75040
550,Chinese,Delhi,swiggy,39579
551,Mediterranean,Delhi,swiggy,31473
552,Pan-Asian,Delhi,swiggy,90833
553,Thai,Delhi,swiggy,42400
554,Thai,Delhi,swiggy,87038
555,Continental,Delhi,swiggy,164558
556,Vietnamese,Delhi,swiggy,228042
557,Desserts,Delhi,swiggy,63816
558,Italian,Delhi,swiggy,131915
559,Street Food,Delhi,swiggy,259412
560,Seafood,Delhi,swiggy,299098
561,Continental,Delhi,swiggy,322567
562,Mediterranean,Delhi,swiggy,115007
563,South Indian,Delhi,swiggy,266279
564,Biryani,Delhi,swiggy,32285
565,Mediterranean,Delhi,swiggy,29802
566,Lebanese,Delhi,swiggy,122459
567,Cafe,Delhi,swiggy,245163
568,Mughlai,Delhi,swiggy,220754
569,Mexican,Delhi,swiggy,247154
570,Cafe,Delhi,swiggy,33937
571,Italian,Delhi,swiggy,134406
572,North Indian,Delhi,swiggy,109153
573,Korean,Delhi,swiggy,55563
574,Thai,Delhi,swiggy,68500
575,Fast Food,Delhi,swiggy,163037
576,Japanese,Delhi,swiggy,201318
577,Thai,Delhi,swiggy,49495
578,Cafe,Delhi,swiggy,139263
579,Continental,Delhi,swiggy,189245
580,North Indian,Delhi,swiggy,290319
581,Desserts,Delhi,swiggy,124064
582,Italian,Delhi,swiggy,35113
583,Fast Food,Delhi,swiggy,214944
584,Seafood,Delhi,swiggy,34260
585,Vietnamese,Delhi,swiggy,173638
586,Desserts,Delhi,swiggy,94037
587,Seafood,Delhi,swiggy,184026
588,Seafood,Delhi,swiggy,130553
589,Cafe,Delhi,swiggy,82919
590,Street Food,Delhi,swiggy,43211
591,Chinese,Delhi,swiggy,133316
592,Mughlai,Delhi,swiggy,131796
593,Continental,Delhi,swiggy,102682
594,Lebanese,Delhi,swiggy,191883
595,Thai,Delhi,swiggy,211023
596,Mediterranean,Delhi,swiggy,137418
597,South Indian,Delhi,swiggy,133893
598,Bakery,Delhi,swiggy,166835
599,Bakery,Delhi,swiggy,30457
600,North Indian,Delhi,swiggy,336580
601,North Indian,Delhi,swiggy,207385
602,Seafood,Delhi,swiggy,225792
603,Lebanese,Delhi,swiggy,84263
604,Cafe,Delhi,swiggy,77095
605,Mughlai,Delhi,swiggy,45902
606,Continental,Delhi,swiggy,245559
607,Chinese,Delhi,swiggy,71332
608,Cafe,Delhi,swiggy,50228
609,Vietnamese,Delhi,swiggy,209832
610,Continental,Delhi,swiggy,187713
611,Biryani,Delhi,swiggy,160919
612,Vietnamese,Delhi,swiggy,120940
613,Bakery,Delhi,swiggy,91193
614,Biryani,Delhi,swiggy,162400
615,Korean,Delhi,swiggy,233088
616,Mughlai,Delhi,swiggy,117273
617,Bakery,Delhi,swiggy,168004
618,Desserts,Delhi,swiggy,29020
619,Seafood,Delhi,swiggy,174472
620,Lebanese,Delhi,swiggy,73314
621,Italian,Delhi,swiggy,123038
622,Japanese,Delhi,swiggy,57961
623,Japanese,Delhi,swiggy,216296
624,Italian,Delhi,swiggy,156859
625,Seafood,Delhi,swiggy,147184
626,Korean,Delhi,swiggy,17935
627,Vietnamese,Delhi,swiggy,187042
628,Japanese,Delhi,swiggy,152193
629,Biryani,Delhi,swiggy,110080
630,Multi-Cuisine,Delhi,swiggy,26348
631,Pan-Asian,Delhi,swiggy,206672
632,North Indian,Delhi,swiggy,234000
633,Seafood,Delhi,swiggy,88633
634,Mediterranean,Delhi,swiggy,143861
635,Chinese,Delhi,swiggy,42993
636,Continental,Delhi,swiggy,103832
637,Chinese,Delhi,swiggy,176388
638,Italian,Delhi,swiggy,71465
639,Continental,Delhi,swiggy,152934
640,Multi-Cuisine,Delhi,swiggy,51899
641,Cafe,Delhi,swiggy,42744
642,Street Food,Delhi,swiggy,102135
643,Seafood,Delhi,swiggy,206640
644,Desserts,Delhi,swiggy,203736
645,Seafood,Delhi,swiggy,39677
646,Vietnamese,Delhi,swiggy,78667
647,Lebanese,Delhi,swiggy,160645
648,Japanese,Delhi,swiggy,239105
649,Biryani,Delhi,swiggy,272672
650,Italian,Delhi,swiggy,92049
651,Street Food,Delhi,swiggy,114444
652,South Indian,Delhi,swiggy,245518
653,Continental,Delhi,swiggy,112054
654,Vietnamese,Delhi,swiggy,138639
655,Lebanese,Delhi,swiggy,151636
